Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p21stt14.csv,,,,,,,,,,,,,,,
"Table 14. Prisoners held in the custody of private prisons or local jails under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2020 and 2021",,,,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2020 and 2021",,,,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 14. Prisoners held in the custody of private prisons or local jails under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2020 and 2021",,,,,,,,,,,,,,,
,,Prisoners held in private prisons/a,,,,,,,Prisoners held in local jails,,,,,,
,New Hampshire,~,~,:,:,,:,,53,57,4,7.5,,2.7,
,New Jersey,553,665,112,20.3,,5.3,,751,460,-291,-38.7,,3.7,
,New Mexico,"2,457","2,269",-188,-7.7,,44,,0,0,0,0,,0,
,New York,0,0,0,0,,0,,0,0,0,0,,0,
,North Carolina,33,29,-4,-12.1,,0.1,,~,~,:,:,,:,
,North Dakota,255,305,50,19.6,,18.1,,6,32,26,433.3,,1.9,
,Ohio,"6,204","6,506",302,4.9,,14.4,,0,0,0,0,,0,
,Oklahoma,"4,616","4,728",112,2.4,,21.1,,11,0,-11,-100,,0,
,Oregon,0,0,0,0,,0,,0,7,7,0,,0.1,
,Pennsylvania,315,405,90,28.6,,1.1,,0,0,0,0,,0,
,Rhode Island/c,~,~,:,:,,:,,~,~,:,:,,:,
,South Carolina,84,82,-2,-2.4,,0.5,,300,280,-20,-6.7,,1.8,
,South Dakota,27,36,9,33.3,,1.1,,0,0,0,0,,0,
,Tennessee,"6,984","7,593",609,8.7,,34.5,,"5,298","4,097","-1,201",-22.7,,18.6,
,Texas,"9,249","9,748",499,5.4,,7.3,,"11,210","10,054","-1,156",-10.3,,7.5,
,Utah,0,0,0,0,,0,,"1,320","1,445",125,9.5,,24.5,
,Vermont/c,194,137,-57,-29.4,,10.6,,0,0,0,0,,0,
,Virginia,"1,483","1,441",-42,-2.8,,4.7,,"7,474","5,645","-1,829",-24.5,,18.6,
,Washington,0,0,0,0,,0,,132,133,1,0.8,,1,
,West Virginia,0,0,0,0,,0,,"2,051","1,216",-835,-40.7,,20.8,
,Wisconsin,~,~,:,:,,:,,322,25,-297,-92.2,,0.1,
,Wyoming,259,250,-9,-3.5,,11.8,,6,9,3,50,,0.4,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Custody refers to the physical location where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts are for December 31 of each year and are based on prisoners with any sentence status. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons. ",,,,,,,,,,,,,,,
:Not calculated.,,,,,,,,,,,,,,,
~Not applicable. ,,,,,,,,,,,,,,,
a/Includes prisoners held in private facilities in the jurisdiction of another state.,,,,,,,,,,,,,,,
"b/Includes federal prisoners held in nonsecure privately operated facilities (7,298) and prisoners on home confinement (7,743). Excludes persons held in immigration detention facilities pending adjudication.",,,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,,
d/Includes prisoners in facilities owned by the state but staffed by employees of a private correctional company.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2020 and 2021.",,,,,,,,,,,,,,,
