Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p21stat01.csv,,,,,,,,,,,,
"Appendix Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and race or Hispanic origin, December 31, 2021",,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary); and National Prisoner Statistics, 2021",,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and race or Hispanic origin, December 31, 2021",,,,,,,,,,,,
Jurisdiction,,Total,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,Asian/a,Native Hawaiian/Other Pacific Islander/a,Two or more races/a,Other/a,Unknown,Did not report
,New Hampshire,"2,127","1,752",152,125,11,6,1,~,45,35,0
,New Jersey,"12,506","2,771","7,662","1,941",13,97,0,/,0,22,0
,New Mexico/h,"5,154","1,385",380,"3,194",455,12,22,0,0,49,0
,New York,"30,338","7,056","14,930","7,290",289,190,/,/,435,148,0
,North Carolina,"28,995","11,776","14,620","1,725",576,94,~,~,~,204,0
,North Dakota,"1,689",982,181,99,418,6,3,0,0,~,0
,Ohio,"45,029","22,368","19,305","1,156",83,72,/,/,446,/,"1,599"
,Oklahoma,"22,391","11,109","6,087","1,871","2,099",88,31,~,50,18,"1,038"
,Oregon,"13,198","9,566","1,236","1,757",411,183,36,/,0,9,0
,Pennsylvania/f,"37,194","16,427","17,125","3,333",37,114,~,0,0,158,0
,"Rhode Island/d,f","2,238",887,643,614,21,30,/,/,39,4,0
,South Carolina/i,"15,759","5,894","9,285",427,25,22,0,/,104,2,0
,South Dakota/i,"3,353","1,730",262,134,"1,189",26,2,~,10,0,0
,Tennessee,"21,995","12,047","9,295",560,36,57,/,/,/,/,0
,Texas,"133,772","45,229","43,485","44,284",63,522,0,0,189,0,0
,Utah,"5,907","3,487",450,"1,219",333,58,136,0,0,224,0
,Vermont,"1,287","1,104",124,0,25,8,2,0,9,15,0
,Virginia/c,"30,357","12,863","16,326",988,32,124,0,0,0,24,0
,Washington,"13,674","7,555","2,419","2,286",682,590,/,/,56,86,0
,West Virginia,"5,847","4,956",797,43,5,4,1,41,0,0,0
,Wisconsin,"20,202","8,947","8,200","1,918",886,244,0,0,/,7,0
,Wyoming,"2,123","1,593",101,248,159,9,5,0,3,5,0
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts are based on prisoners with any sentence status and were provided by state and federal departments of corrections’ administrative record systems and may not reflect prisoners’ self-identification of race or Hispanic origin. State, federal, and national totals by race or Hispanic origin differ from other tables in this report due to adjustments that BJS made in other tables to correct for differences between administrative records and prisoner self-reported data on race or Hispanic origin. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons (BOP).",,,,,,,,,,,,
~Not applicable. Jurisdiction does not track this race or ethnicity.,,,,,,,,,,,,
/Not reported. ,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons). ",,,,,,,,,,,,
"b/The BOP does not separate persons of Hispanic origin from the individual race categories when reporting to the National Prisoner Statistics. To do so, BJS used data from the 2021 Federal Justice Statistics Program (preliminary).",,,,,,,,,,,,
"c/Asians, Native Hawaiians, and Other Pacific Islanders were combined into a single category and reported in the Asian category.",,,,,,,,,,,,
"d/State does not collect data on Native Hawaiians, Other Pacific Islanders, or persons of two or more races.",,,,,,,,,,,,
"e/Asians, Native Hawaiians, and Other Pacific Islanders were combined into a single category and reported in the Other race category.",,,,,,,,,,,,
f/Persons of Hispanic origin may be undercounted due to data collection methods.,,,,,,,,,,,,
g/State reported prisoners in 2021 in the Unknown race category who in past years may have been reported as Other.,,,,,,,,,,,,
h/State reported counts of prisoners by race that exceeded its jurisdiction population. Data in this table are those reported by the state.,,,,,,,,,,,,
i/State does not collect data on two or more races but includes these persons in the Other race category.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary); and National Prisoner Statistics, 2021.",,,,,,,,,,,,
