Bureau of Justice Statistics,,,,,,,,,
Filename: p21stt22.csv,,,,,,,,,
"Table 22. Citizenship status of prisoners in the custody of publicly or privately operated state or federal prisons, excluding jails, by sex and jurisdiction, December 31, 2021",,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2021",,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,
,,,,,,,,,
"Table 22. Citizenship status of prisoners in the custody of publicly or privately operated state or federal prisons, excluding jails, by sex and jurisdiction, December 31, 2021",,,,,,,,,
,,U.S. citizen prisoners,,,Non-U.S. citizen prisoners,,,,
,Missouri/e,"22,979","20,966","2,013",158,153,5,0.7,
,Montana/e,"4,294","3,683",611,19,19,0,0.4,
,Nebraska/e,"5,351","4,952",399,249,^^,^,4.4,
,Nevada/f,"9,032","8,298",734,801,771,30,8,
,New Hampshire/e,"1,901","1,783",118,63,^^,^,3,
,New Jersey/e,"11,484","11,053",431,958,942,16,7.7,
,New Mexico ,"5,468","4,940",528,112,^^,^,2.2,
,New York/f,"27,309","26,280","1,029","1,391","1,369",22,4.6,
,North Carolina/e,"28,196","26,047","2,149","1,235","1,196",39,4.3,
,North Dakota/e,"1,668","1,468",200,21,21,0,1.2,
,Ohio,"42,979","39,659","3,320",451,444,7,1,
,"Oklahoma/b,c","20,888","18,754","2,134",525,511,14,2.5,
,Oregon,/,/,/,/,/,/,:,
,"Pennsylvania/d,f","33,999","32,208","1,791",367,356,11,1,
,"Rhode Island/e,g",/,/,/,/,/,/,:,
,South Carolina,"14,950","13,983",967,350,340,10,2.3,
,South Dakota/f,"3,131","2,718",413,67,^^,^,2.1,
,Tennessee,"17,391","15,822","1,569",507,493,14,2.8,
,Texas/f,"106,878","98,858","8,020","6,806","6,653",153,6,
,"Utah/b,d,f","3,787","3,435",352,207,202,5,5.2,
,"Vermont/e,g","1,216","1,146",70,9,9,0,0.7,
,Virginia,"22,628","21,086","1,542","1,516","1,461",55,6.2,
,Washington/f,"11,034","10,342",692,662,648,14,5,
,West Virginia/f,"4,614","4,053",561,15,15,0,0.3,
,"Wisconsin/c,f","17,338","16,149","1,189",434,423,11,2.2,
,Wyoming,"2,054","1,788",266,39,^^,^,1.9,
"Note: Interpret these statistics with caution. Unless otherwise noted, citizenship status is based on prisoners' self-report upon admission to prison. The counts of U.S. citizens and non-U.S. citizens represent persons held in the physical custody of state or federal correctional authorities and in private prisons, excluding prisoners held in local jails or the custody of other jurisdictions but including prisoners in states with an integrated prison and jail system. Some jurisdictions use prisoners' reported country of birth to determine current citizenship. For jurisdiction-level information, see Jurisdiction notes on the BJS website. BJS changed the way it measured citizenship in the National Prisoner Statistics program to include all non-U.S. citizens as of the 2016 reference year. See Methodology. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons (BOP).",,,,,,,,,
:Not calculated.,,,,,,,,,
/Not reported. ,,,,,,,,,
^Four or fewer persons.,,,,,,,,,
^^Suppressed to protect confidentiality.,,,,,,,,,
"a/Percentage based on custody or jurisdiction population, which may include persons with unknown citizenship.",,,,,,,,,
b/State did not rely on self-report citizenship data from prisoners.,,,,,,,,,
c/Citizenship data were based on law enforcement documents or court documents that accompanied prisoners upon admission.,,,,,,,,,
"d/Citizenship data were subject to verification by an external data source (e.g., comparison to official records from U.S. Immigration and Customs Enforcement or other relevant government agencies).",,,,,,,,,
e/Counts of non-U.S. citizens represent all persons under the jurisdiction of correctional authorities in the BOP or state.,,,,,,,,,
f/Counts of non-U.S. citizens exclude those held in private facilities.,,,,,,,,,
g/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,
h/Citizenship data for the yearend 2021 custody population were obtained by combining all non-U.S. countries of birth from the California Department of Corrections and Rehabilitation Tableau dashboard (https://public.tableau.com/app/profile/cdcr.or/viz/OffenderDataPoints/SummaryInCustodyandParole).,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2021.",,,,,,,,,
